"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.12.2024","13,940","13,920","13,940","13,925","0,00K","0,18%"
"26.12.2024","13,915","14,065","14,065","13,905","0,00K","-0,96%"
"24.12.2024","14,050","14,100","14,135","13,885","0,69K","0,29%"
"23.12.2024","14,010","14,155","14,285","13,690","1,28K","-0,46%"
"20.12.2024","14,075","14,445","14,470","13,935","0,95K","-2,32%"
"19.12.2024","14,410","14,820","14,820","14,400","0,90K","-2,73%"
"18.12.2024","14,815","14,995","14,995","14,780","0,82K","-1,10%"
"17.12.2024","14,980","14,950","15,000","14,900","1,04K","0,20%"
"16.12.2024","14,950","15,015","15,025","14,940","1,09K","-0,20%"
"13.12.2024","14,980","15,020","15,040","14,965","0,58K","-0,17%"
"12.12.2024","15,005","15,040","15,105","14,995","0,62K","-0,20%"
"11.12.2024","15,035","15,080","15,125","15,010","0,50K","-0,36%"
"10.12.2024","15,090","15,105","15,130","15,075","0,42K","-0,13%"
"09.12.2024","15,110","15,050","15,140","15,035","0,81K","0,17%"
"06.12.2024","15,085","15,110","15,175","15,070","0,32K","-0,46%"
"05.12.2024","15,155","15,180","15,225","15,085","0,54K","0,10%"
"04.12.2024","15,140","15,250","15,285","14,980","0,69K","-1,01%"
"03.12.2024","15,295","15,290","15,315","15,160","1,14K","0,03%"
"02.12.2024","15,290","15,240","15,300","15,150","0,72K","0,49%"
"29.11.2024","15,215","15,170","15,250","15,155","0,58K","0,30%"
"27.11.2024","15,170","15,125","15,250","15,085","0,75K","0,30%"
"26.11.2024","15,125","14,905","15,150","14,885","0,52K","1,27%"
"25.11.2024","14,935","15,115","15,130","14,855","0,63K","-1,39%"
"22.11.2024","15,145","15,145","15,175","15,010","0,35K","-0,16%"
"21.11.2024","15,170","15,090","15,225","15,090","0,74K","0,33%"
"20.11.2024","15,120","15,060","15,150","14,975","0,34K","0,17%"
"19.11.2024","15,095","15,140","15,290","15,015","0,68K","-0,46%"
"18.11.2024","15,165","15,050","15,375","15,030","1,67K","0,80%"
"15.11.2024","15,045","14,610","15,105","14,610","0,97K","2,52%"
"14.11.2024","14,675","14,765","14,765","14,765","0,00K","-1,77%"
"13.11.2024","14,940","14,940","14,940","14,940","0,01K","0,88%"
"12.11.2024","14,810","14,730","14,820","14,730","0,02K","1,79%"
