Data;Taxa media
03/2011;12,65
04/2011;13,66
05/2011;12,85
06/2011;12,64
07/2011;9,91
08/2011;10,38
09/2011;11,59
10/2011;13,48
11/2011;10,26
12/2011;10,87
01/2012;12,87
02/2012;12,69
03/2012;12,02
04/2012;11,02
05/2012;10,89
06/2012;11,61
07/2012;10,79
08/2012;10,69
09/2012;8,70
10/2012;11,05
11/2012;11,28
12/2012;10,49
01/2013;10,56
02/2013;13,14
03/2013;11,84
04/2013;11,86
05/2013;12,52
06/2013;11,97
07/2013;13,76
08/2013;12,68
09/2013;10,31
10/2013;12,91
11/2013;13,36
12/2013;13,67
01/2014;13,65
02/2014;13,94
03/2014;13,94
04/2014;13,12
05/2014;13,86
06/2014;14,54
07/2014;16,77
08/2014;14,21
09/2014;13,55
10/2014;12,57
11/2014;11,80
12/2014;12,46
01/2015;16,59
02/2015;16,03
03/2015;15,79
04/2015;16,11
05/2015;17,53
06/2015;16,92
07/2015;16,99
08/2015;19,65
09/2015;18,41
10/2015;18,42
11/2015;17,91
12/2015;18,78
01/2016;21,06
02/2016;21,64
03/2016;17,33
04/2016;17,99
05/2016;17,46
06/2016;20,48
07/2016;16,09
08/2016;17,50
09/2016;19,32
10/2016;16,40
11/2016;17,82
12/2016;17,97
01/2017;19,11
02/2017;13,92
03/2017;12,35
04/2017;11,30
05/2017;12,51
06/2017;11,52
07/2017;10,53
08/2017;11,19
09/2017;9,85
10/2017;9,79
11/2017;9,85
12/2017;8,72
01/2018;10,23
02/2018;10,54
03/2018;9,93
04/2018;8,24
05/2018;11,49
06/2018;11,37
07/2018;10,51
08/2018;10,64
09/2018;11,60
10/2018;10,06
11/2018;10,11
12/2018;10,08
01/2019;9,67
02/2019;9,55
03/2019;9,46
04/2019;9,45
05/2019;10,08
06/2019;9,40
07/2019;8,69
08/2019;8,51
09/2019;7,87
10/2019;7,94
11/2019;7,53
12/2019;7,46
01/2020;8,10
02/2020;7,55
03/2020;7,52
04/2020;7,68
05/2020;8,34
06/2020;7,04
07/2020;6,58
08/2020;6,83
09/2020;5,83
10/2020;5,28
11/2020;6,26
12/2020;5,86
01/2021;6,38
02/2021;6,23
03/2021;7,11
04/2021;8,03
05/2021;7,77
06/2021;7,52
07/2021;8,35
08/2021;9,11
09/2021;9,75
10/2021;10,95
11/2021;10,29
12/2021;11,57
01/2022;12,17
02/2022;13,42
03/2022;14,18
04/2022;14,37
05/2022;12,75
06/2022;14,06
07/2022;11,98
08/2022;14,19
09/2022;15,84
10/2022;14,14
11/2022;14,75
12/2022;14,50
01/2023;15,81
02/2023;14,98
03/2023;14,78
04/2023;14,26
05/2023;14,07
06/2023;14,06
07/2023;12,40
08/2023;11,78
09/2023;11,77
10/2023;12,43
11/2023;12,31
12/2023;12,03
01/2024;11,94
02/2024;12,07
03/2024;11,66
04/2024;11,68
05/2024;11,97
06/2024;12,38
07/2024;12,47
08/2024;12,03
09/2024;12,57
10/2024;12,66
11/2024;13,65
