Ano;CulivadoresMotorizados;TratoresdeRodas;TratoresdeEsteiras;Colheiradeiras;ColhedorasCana;Retro;Total
2000;813;27.546;1.429;4.296;-;1.417;35.501
2001;947;34.781;1.351;5.196;-;2.064;44.339
2002;1.079;40.352;1.665;6.851;-;2.063;52.010
2003;1.597;47.109;1.520;9.195;-;1.605;61.026
2004;1.703;52.768;2.229;10.443;-;2.275;69.418
2005;2.183;40.871;2.681;4.229;-;2.907;52.871
2006;1.940;35.586;2.781;2.314;-;3.444;46.065
2007;1.722;50.719;3.347;5.148;-;4.067;65.003
2008;1.751;66.504;3.415;8.407;-;4.915;84.992
2009;1.832;55.024;986;4.503;-;3.865;66.210
2010;1.922;71.763;2.234;7.007;-;5.948;88.874
2011;1.350;63.427;2.929;7.630;-;6.177;81.513
2012;1.404;64.456;2.939;7.485;-;7.420;83.704
2013;1.595;77.597;2.337;10.106;1.460;8.950;102.045
2014;1.566;64.793;2.765;7.623;1.025;5.581;83.353
2015;1.162;44.349;1.413;3.889;676;4.449;55.938
2016;803;43.442;1.152;4.889;870;2.876;54.032
2017;-;41.093;2.107;5.513;1.039;3.291;53.043
2018;-;49.851;4.071;6.552;982;4.200;65.656
2019;-;35.572;4.262;6.310;832;6.149;53.125
2020;-;33.981;2.769;4.985;780;5.345;47.860
